Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Vehicles,Vehicles Per Day,Avg Hours Per Day Per Vehicle,Avg Minutes Per Trip
2016-07,Green,42979,589602,5868,4408,6.2,13
2016-07,Yellow,332231,4924633,13293,12266,12.6,15.7
2016-06,FHV - High Volume,242233,-,37615,23824,6,0
2016-06,Green,46817,645016,5959,4711,6.2,13.5
2016-06,Yellow,371257,5564246,13354,12781,13.3,16.7
2016-05,FHV - High Volume,226667,-,35611,21717,6.1,0
2016-05,Green,49573,681032,6008,4730,6.5,13.5
2016-05,Yellow,381878,5654653,13381,12777,13.5,15.8
2016-04,FHV - High Volume,217147,-,33518,20967,6.1,0
2016-04,Green,51458,692778,6021,4789,6.6,13
2016-04,Yellow,397780,5721501,13370,12875,13.8,17.4
2016-03,FHV - High Volume,195837,-,32016,19685,5.8,0
2016-03,Green,50850,673269,6043,4768,6.5,12.6
2016-03,Yellow,393886,5614089,13379,12828,13.6,15
2016-02,FHV - High Volume,201940,-,31921,19596,5.9,0
2016-02,Green,52093,676135,6165,4843,6.5,12.3
2016-02,Yellow,392470,5427875,13339,12718,13.4,14.6
2016-01,FHV - High Volume,166805,-,32056,19007,5.5,0
2016-01,Green,46621,613966,6253,4648,6.3,12.5
2016-01,Yellow,351816,4886897,13347,12244,12.7,15.4
2015-12,FHV - High Volume,168786,-,30010,18733,5.6,0
2015-12,Green,51880,700319,6342,5030,6.4,12.9
2015-12,Yellow,369686,5425880,13429,12641,13.2,18.4
2015-11,FHV - High Volume,163178,-,28845,18141,5.7,0
2015-11,Green,50999,685908,6342,5036,6.4,12.9
2015-11,Yellow,377076,5502861,13428,12732,13.3,20.4
2015-10,FHV - High Volume,163168,-,28002,17701,5.8,0
2015-10,Green,52598,716779,6396,5083,6.5,13.3
2015-10,Yellow,397244,5856687,13436,12787,13.7,17.3
2015-09,FHV - High Volume,144300,-,26050,15814,5.8,0
2015-09,Green,49830,687469,6403,4932,6.4,13.2
2015-09,Yellow,374156,5520038,13423,12523,13.2,16.5
2015-08,FHV - High Volume,123807,-,24452,14485,5.6,0
